EVALUATION RESULTS:
bleu,success,match
0.11930830465923484,0.6949806902687795,0.6153846153372781
DECODED RESULTS
dial_id,turn_num,user,bspn_gen,bspn,resp_gen,resp
1232,5,,,,,
1232,0,sebuah restoran makanan irlandia yang menengah .,irlandia menengah EOS_Z1,irlandia menengah EOS_Z1,apakah kamu ingin informasi lebih lanjut ?,tidak ada restoran food_SLOT . apakah kamu ingin memilih jenis makanan yang lain ?
1232,1,"tidak ada restoran irlandia . apakah kamu ingin memilih jenis makanan yang lain ?ya , bisa kah saya mendapatkan yang pub gastronomi ?",pub gastronomi menengah tidak peduli EOS_Z1,pub gastronomi menengah EOS_Z1,apakah kamu ingin informasi lebih lanjut ?,ada tiga restoran food_SLOT yang tersedia . salah satu berada di area_SLOT kota dan yang lainnya ada di area_SLOT .
1232,2,ada tiga restoran pub gastronomi yang tersedia . salah satu berada di timur kota dan yang lainnya ada di pusat .saya ingin alamat dan nomor dari salah satu yang berada berada di timur kota .,pub gastronomi menengah tidak peduli EOS_Z1 address phone,pub gastronomi menengah timur EOS_Z1 address phone,alamatnya adalah 01223 352660 .,"maafkan saya , sepertinya tidak ada hasil untuk yang berada di area_SLOT kota . sistem kami pricerange_SLOT mengalami kendala ."
1232,3,"maafkan saya , sepertinya tidak ada hasil untuk yang berada di timur kota . sistem kami sedang mengalami kendala .bisakah saya mendapatkan alamat dan nomor dari pub gastronomi di pusat kota ?",pub gastronomi menengah tidak peduli EOS_Z1 address phone,pub gastronomi menengah pusat EOS_Z1 address phone,alamatnya adalah 01223 362660 .,"the cow pizza kitchen and bar adalah food_SLOT yang menengah di area_SLOT kota . berlokasi di corn exchange street , dan nomor teleponnya adalah 01223 308871 ."
1232,4,"the cow pizza kitchen and bar adalah pub gastronomi yang menengah di pusat kota . berlokasi di corn exchange street , dan nomor teleponnya adalah 01223 308871 .terima kasih sampai jumpa .",menengah tidak peduli EOS_Z1,pub gastronomi menengah pusat EOS_Z1,"terima kasih , sampai jumpa .",terima kasih dan sampai jumpa
1312,5,,,,,
1312,0,saya ingin menemukan sebuah restoran mahal yang menyediakan masakan natal .,natal mahal EOS_Z1,natal mahal EOS_Z1,tidak ada restoran yang menyediakan masakan food_SLOT . apakah kamu ingin informasi lebih lanjut ?,apakah ada area tertentu yang kamu inginkan !
1312,1,apakah ada area tertentu yang kamu inginkan !tidak ada area yang spesifik .,mahal EOS_Z1 area,tidak peduli natal mahal EOS_Z1,apakah kamu inginkan informasi lebih lanjut tentang informasi lebih lanjut tentang informasi lebih lanjut ?,saya tidak menemukan restoran yang menyediakan makanan food_SLOT di harga pricerange_SLOT . apakah kamu menginginkan jenis makanan lainnya ?
1312,2,saya tidak menemukan restoran yang menyediakan makanan natal di harga mahal . apakah kamu menginginkan jenis makanan lainnya ?apakah ada restoran eropa ?,eropa mahal EOS_Z1,eropa mahal tidak peduli EOS_Z1,alamatnya adalah 01223 727456 . apakah kamu ingin informasi lebih lanjut lebih lanjut lebih lanjut ?,"ya , ada empat : cambridge lodge restaurant , eraina , dan michaelhouse cafe yang menyediakan makanan food_SLOT , dengan darrys cookhouse and wine shop yang menyediakan makanan food_SLOT modern"
1312,3,"ya , ada empat : cambridge lodge restaurant , eraina , dan michaelhouse cafe yang menyediakan makanan eropa , dengan darrys cookhouse and wine shop yang menyediakan makanan eropa moderntolong nomor dan alamat dari cambridge lodge restaurant",eropa mahal EOS_Z1 address phone,eropa mahal tidak peduli EOS_Z1 address phone,"alamatnya adalah cambridge lodge restaurant , dan nomornya adalah 01223 242660 . apakah kamu ingin informasi lebih lanjut lebih lanjut ?","cambridge lodge restaurant berada di area_SLOT kota , di cambridge lodge hotel 139 huntingdon road city area_SLOT . nomor telepon mereka adalah 01223 355166 ."
1312,4,"cambridge lodge restaurant berada di barat kota , di cambridge lodge hotel 139 huntingdon road city centre . nomor telepon mereka adalah 01223 355166 .terima kasih sampai jumpa .",eropa mahal EOS_Z1,eropa mahal tidak peduli EOS_Z1,"terima kasih , sampai jumpa .",terima kasih telah menggunakan sistem restoran cambridge . sampai jumpa .
1239,5,,,,,
1239,0,saya ingin restoran di bagian pusat kota yang menyediakan makanan karibia,karibia pusat EOS_Z1,karibia pusat EOS_Z1,apakah kamu ingin informasi lebih lanjut ?,"maaf , tidak ada restoran yang sesuai dengan permintaanmu ."
